code,product_name,brands,main_category,categories,labels_tags,allergens,ingredients_text,sugars_100g,lactose_100g,polyols_100g,caffeine_100g,nutriscore_grade,nova_group,url,image_url,axes_sensibles,substitution_group,reason,fodmap_high_count,fodmap_moderate_count,fodmap_low_count,fodmap_detected,fodmap_safe
2000000025586,Spéculoos au lait végétal,Aux Caprices de Jess,en:biscuits-and-cakes,"Snacks, Snacks sucrés, Biscuits et gâteaux","en:no-preservatives,en:no-lactose,en:no-milk,fr:lait-vegetal",en:nuts,"lait végétal, _amandes_, ...",,,,,b,3,http://world-en.openfoodfacts.org/product/2000000025586/speculoos-au-lait-vegetal-aux-caprices-de-jess,https://images.openfoodfacts.org/images/products/200/000/002/5586/front_fr.4.400.jpg,lactose,lactose_free_dairy_or_alt,labels_tags indique sans lactose ou catégorie substitut laitier,0,0,0,Aucun,OUI
3596710479955,Maïs doux,Auchan Bio,en:canned-sweet-corn,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Céréales et pommes de terre,Graines,Légumes et dérivés,Aliments à base de plantes en conserve,Céréales et dérivés,Légumes en conserve,Céréales en grains,Maïs,Céréales en conserve,Maïs doux,Maïs en conserve,Maïs doux en conserve, Frais, Aliments à base de plantes frais, Légumes frais","en:organic,en:eu-organic,en:fr-bio-01,en:green-dot,en:made-in-france,en:nutriscore,en:nutriscore-grade-a,fr:ab-agriculture-biologique,fr:triman,en:sans-sucre-ajoute",,"Maïs doux en grains**, eau, sel. **biologiques",5.2,,,,b,3,http://world-en.openfoodfacts.org/product/3596710479955/mais-doux-auchan-bio,https://images.openfoodfacts.org/images/products/359/671/047/9955/front_fr.68.400.jpg,sucre,general_safe_items,fallback: produit générique compatible S2I (selon ton filtrage amont),0,0,0,Aucun,OUI
3760324841174,Torsades bio maïs riz,La Fourche,af:fusilli,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, en:Specific products, Pâtes alimentaires, en:Products for specific diets, Produits sans gluten, Pâtes sèches, Pâtes alimentaires sans gluten, Fusilli","en:no-gluten,en:organic,en:eu-organic,en:nutriscore,en:nutriscore-grade-a,fr:ab-agriculture-biologique",,"Farine de maïs jaune* (34%), farine de maïs blanc* (33%), farine  de riz* (33%). *Produits issus de l'Agriculture Biologique.",1.2,,,,b,1,http://world-en.openfoodfacts.org/product/3760324841174/torsades-bio-mais-riz-la-fourche,https://images.openfoodfacts.org/images/products/376/032/484/1174/front_fr.22.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3560070967728,Céréales bio fruits secs et graines No Gluten,Carrefour,en:bircher-style-mueslis-with-fruits,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales aux fruits, Mueslis, Mueslis floconneux, Mueslis aux fruits, Mueslis floconneux aux fruits","en:no-gluten,en:organic,en:crossed-grain-trademark,en:distributor-labels,en:eu-organic,en:non-eu-agriculture,en:carrefour-quality,en:dzg-gluten-free,en:eu-agriculture,en:eu-non-eu-agriculture,en:fr-bio-01,en:green-dot,en:made-in-france,fr:ab-agriculture-biologique",en:sesame-seeds,"Flocons de riz 34,8%, raisins secs 15,4% (raisins secs, huile de tournesol), flocons de quinoa 12,6%, pétales de maïs 7,7%, billettes de riz (riz, sel), graines de tournesol , figues sèches 4,6% (figues sèches, farine de riz), bananes séchées 4,6% (bananes séchées, farine de banane) sarrasin grillé, graines de sésame.",14,,,,c,3,http://world-en.openfoodfacts.org/product/3560070967728/cereales-bio-fruits-secs-et-graines-no-gluten-carrefour,https://images.openfoodfacts.org/images/products/356/007/096/7728/front_fr.40.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
05885282,Petits pains de maïs Sans gluten,Lidl,en:breads-with-corn,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pains, Pains au maïs","en:no-gluten,en:organic,en:nutriscore,en:nutriscore-grade-a",,"Eau, 29% amidon de mais, pâte levain de riz (farine de riz, eau), 6% flocons de millet, farine de graines de lin, huile de tournesol, farine de riz, 2% farine de mais, coques de psyllium, protéines de pois, dextrose, levure, sel de mer, épaississants: gomme guar, gomme xanthane; épices.",0.7,,,,c,4,http://world-en.openfoodfacts.org/product/05885282/petits-pains-de-mais-sans-gluten-lidl,https://images.openfoodfacts.org/images/products/000/000/588/5282/front_fr.3.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3760052231421,Pois Chiches Au Naturel,"Karine & Jeff, Le bonheur est dans le pot",en:canned-chickpeas,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumineuses sèches, Pois chiches, Légumineuses en conserve, Pois chiches en conserve","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:vegan,en:eu-agriculture,en:fr-bio-01,en:green-dot,fr:ab-agriculture-biologique",,"eau pure du parc régional du Haut Languedoc, pois chiches* (43,1% orig. Sud-Ouest), sel marin non raffiné, laurier*",2.8,,,,c,3,http://world-en.openfoodfacts.org/product/3760052231421/pois-chiches-au-naturel-karine-jeff,https://images.openfoodfacts.org/images/products/376/005/223/1421/front_fr.12.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3256225039449,Maïs doux,U,en:canned-corn,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Céréales et pommes de terre, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes en conserve, Céréales en grains, Maïs, Céréales en conserve, Maïs doux, Maïs en conserve","en:no-added-sugar,fr:mais-de-france,fr:triman",,"Mais doux en grains sans OGM* (France), Eau, sel.",5.2,,,,b,3,http://world-en.openfoodfacts.org/product/3256225039449/mais-doux-u,https://images.openfoodfacts.org/images/products/325/622/503/9449/front_en.11.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3760052230233,Petits pois extra-fins au naturel,"Karine & Jeff, Le bonheur est dans le pot",en:canned-peas,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumineuses et dérivés, Conserves, Légumineuses, Légumes et dérivés, Aliments à base de plantes en conserve, Légumes, Légumes en conserve, Légumineuses en conserve, Petits pois, Petits pois en conserve","en:no-gluten,en:organic",,"petits pois extra-fins* (99,5% | origine France), sel marin non raffiné, laurier*. *ingrédients issus de l'agriculture biologique.",3.8,,,,a,3,http://world-en.openfoodfacts.org/product/3760052230233/petits-pois-extra-fins-au-naturel-karine-jeff,https://images.openfoodfacts.org/images/products/376/005/223/0233/front_fr.5.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3596710488988,Maïs,Auchan,en:canned-sweet-corn,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Céréales et pommes de terre,Graines,Légumes et dérivés,Aliments à base de plantes en conserve,Céréales et dérivés,Légumes en conserve,Céréales en grains,Maïs,Céréales en conserve,Maïs en conserve,Maïs doux en conserve,Maïs doux, Frais, Aliments à base de plantes frais, Légumes frais","en:no-added-sugar,en:nutriscore,en:nutriscore-grade-a",,"Maïs (origine France), eau, sel.",7.4,,,,c,3,http://world-en.openfoodfacts.org/product/3596710488988/mais-auchan,https://images.openfoodfacts.org/images/products/359/671/048/8988/front_fr.42.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3760138012043,Céréale infantile Riz et Carottes Prémibio,"LOU BIO, Prémibio, Prémilait",en:cereals-for-babies,"Aliments pour bébé, Céréales pour bébé","en:no-gluten,en:organic,en:eu-organic,en:no-gmos,en:no-added-sugar,fr:ab-agriculture-biologique,fr:sans-vitamine-de-synthese",,"Farine de riz, extrait de riz riche en vitamine B1 naturelle, carottes en poudre (6%), β-carotène naturel extrait d'algue (Dunaliella salina).",,,,,not-applicable,,http://world-en.openfoodfacts.org/product/3760138012043/cereale-infantile-riz-et-carottes-premibio-lou-bio,,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
7624841878739,Farine de pois chiches,Coop Naturaplan,en:chickpea-flours,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Farines, Farines de légumineuses, Farines de pois chiche",en:no-gluten,,farine de pois chiches,2.4,,,,unknown,1,http://world-en.openfoodfacts.org/product/7624841878739/farine-de-pois-chiches-coop-naturaplan,https://images.openfoodfacts.org/images/products/762/484/187/8739/front_fr.3.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3045320104172,jus de clémentines pressées,Andros,en:clementine-juices,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Squeezed-juices, Clementine juices, en:squeezed-fruit-juices","en:low-or-no-sugar,en:no-preservatives,en:no-added-sugar,en:no-colorings",,Jus de clémentines.,10,,,,c,1,http://world-en.openfoodfacts.org/product/3045320104172/jus-de-clementines-pressees-andros,https://images.openfoodfacts.org/images/products/304/532/010/4172/front_fr.717.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3596710523023,Avoine CacaoSans sucres ajoutés**Contient des sucres naturellement présents,Auchan Bio,en:cocoa-oat-based-drinks,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Substituts de produits laitiers, Céréales et dérivés, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de céréales, Boissons à l'avoine, Boissons végétales d'avoine au cacao","en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:eu-agriculture,en:eu-non-eu-agriculture,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fr-bio-01,en:no-added-sugar,en:nutriscore,en:nutriscore-grade-b,fr:ab-agriculture-biologique",,"Eau, AVOINE* 11% (origine UE), poudre de cacao maigre* 1,5%, huile de tournesol*, sel marin, stabilisants : gomme guar*, gomme xanthane *biologique",4.5,,,,c,4,http://world-en.openfoodfacts.org/product/3596710523023/avoine-cacaosans-sucres-ajoutes-contient-des-sucres-naturellement-presents-auchan-bio,https://images.openfoodfacts.org/images/products/359/671/052/3023/front_fr.31.400.jpg,gluten|lactose|sucre,lactose_free_dairy_or_alt,labels_tags indique sans lactose ou catégorie substitut laitier,0,0,0,Aucun,OUI
3252920038503,Dessert 100% végétal au riz et au chocolat,Grandeur Nature,en:cocoa-rice-desserts,"Aliments et boissons à base de végétaux, Substituts de produits laitiers, Desserts, Desserts végétaliens, Desserts au chocolat, Crèmes dessert végétaliennes, Desserts de riz, Crèmes dessert chocolat végétaliennes, Desserts de riz au cacao","en:no-gluten,en:organic,en:eu-organic,fr:ab-agriculture-biologique",,"Eau, chocolat en poudre* 13,4% (sucre*, poudre de cacao*), sucre*, farine de riz*, huile de coprah, amidon de riz*, lait de coco*, Algae (lithothamnium calcareum), sel. * Ingrédient issu de l'agriculture biologique",11.3,,,,c,3,http://world-en.openfoodfacts.org/product/3252920038503/dessert-100-vegetal-au-riz-et-au-chocolat-grandeur-nature,https://images.openfoodfacts.org/images/products/325/292/003/8503/front_fr.37.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,2,Aucun,OUI
8021164002695,Crème de coco bio,"Bio Petits Producteurs, Melauro, Melauso, Sans marque",en:coconut-based-creams-for-cooking,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Crèmes végétales, Crèmes végétales pour cuisiner, Crèmes végétales à base de coco pour cuisiner","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:no-preservatives,en:vegan,en:it-bio-006,en:no-colorings,en:no-flavors,en:no-lactose",,"Noix de coco (40%), sucre de canne, huile de tournesol, amande, beurre de cacao",33.5,,,,d,3,http://world-en.openfoodfacts.org/product/8021164002695/creme-de-coco-bio-bio-petits-producteurs,https://images.openfoodfacts.org/images/products/802/116/400/2695/front_fr.6.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,1,Aucun,OUI
3560071511760,Maïs,Carrefour,en:corn,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Maïs",en:no-added-sugar,,"Mais doux en grains, eau, sel",,,,,e,3,http://world-en.openfoodfacts.org/product/3560071511760/mais-carrefour,,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3184340004809,Chips'O maïs nature,Pural,en:corn-chips,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Céréales et dérivés, Chips et frites, Chips, Chips de maïs","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:be-bio-02,en:eu-agriculture,en:eu-non-eu-agriculture,en:made-in-belgium,en:no-palm-oil",,"Farine de maïs* (77,7%) [UE], huile de tournesol, sel marin. *issu de l'agriculture biologique.",1.5,,,,c,3,http://world-en.openfoodfacts.org/product/3184340004809/chips-o-mais-nature-pural,https://images.openfoodfacts.org/images/products/318/434/000/4809/front_fr.21.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3560071006822,Maïs,"Carrefour, Carrefour Classic'",en:corn-grain,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Céréales et pommes de terre, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes en conserve, Céréales en grains, Maïs, Céréales en conserve, Maïs doux, Maïs en conserve, Maïs doux en conserve, Maïs en grain","en:no-gmos,en:green-dot,en:grown-in-france,en:no-added-sugar,en:nutriscore,en:nutriscore-grade-a,en:without-pesticide-residues,fr:triman",,"Maïs doux en grains, eau, sel. (1) Contient des sucres naturellement présents",5.5,,,,b,3,http://world-en.openfoodfacts.org/product/3560071006822/mais-carrefour,https://images.openfoodfacts.org/images/products/356/007/100/6822/front_fr.104.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,1,Aucun,OUI
3256229791459,"Couscous de maïs sans gluten, 375g","U, U Sans Gluten",en:corn-semolinas,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Semoules de céréales, Semoules de maïs","en:no-gluten,en:crossed-grain-trademark,en:dzg-gluten-free,en:fsc,en:nutriscore,en:nutriscore-grade-a",,Farine de maïs 100% origine : farine de maïs europe,0.5,,,,a,1,http://world-en.openfoodfacts.org/product/3256229791459/couscous-de-mais-sans-gluten-375g-u,https://images.openfoodfacts.org/images/products/325/622/979/1459/front_fr.3.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3165440003510,Fleur De Maïs Maïsla,"Tipiak, Tipiak Restauration",en:corn-starch,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Amidons, Amidons de céréales, Amidon de maïs","en:no-gluten,en:green-dot,en:products-for-professional-use",,"100% amidon de maïs, _sulfites_.",0,,,,c,2,http://world-en.openfoodfacts.org/product/3165440003510/fleur-de-mais-maisla-tipiak,https://images.openfoodfacts.org/images/products/316/544/000/3510/front_fr.15.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3350033289253,Couscous semoule de maïs,Monoprix,en:couscous,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Plats préparés, Semoules de céréales, Semoules de maïs, Couscous","en:no-gluten,en:crossed-grain-trademark,en:dzg-gluten-free",,Semoule de maïs.,0,,,,b,3,http://world-en.openfoodfacts.org/product/3350033289253/couscous-semoule-de-mais-monoprix,https://images.openfoodfacts.org/images/products/335/003/328/9253/front_fr.20.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3361291956016,Pruneaux sans sucres ajoutés,Pruni,en:dried-prunes,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Fruits, Aliments à base de plantes séchées, Fruits secs, Pruneaux","en:no-preservatives,en:no-added-sugar,fr:sud-de-france,fr:triman",,"Pruneaux issus de l'agriculture française, eau, extrait de vanille Bourbon.",30.7,,,,c,1,http://world-en.openfoodfacts.org/product/3361291956016/pruneaux-sans-sucres-ajoutes-pruni,https://images.openfoodfacts.org/images/products/336/129/195/6016/front_fr.23.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3456300005820,Couscous Oriental Semoule Maïs Et Riz Bio Sans Gluten,Léa Nature Jardin Bio,en:durum-wheat-semolinas,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Semoules de céréales, Semoules de blé, Semoules de blé dur","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:eu-agriculture,en:eu-non-eu-agriculture,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:fr-bio-01,en:no-lactose,fr:ab-agriculture-biologique","en:gluten,en:milk",LÉA NATURE Jardin Bio GLUTEN free vegan sans IACTOSE Couscous oriental semoule mais riz fabriqué France CERTIFIE AB 250 FR 810 01,2.9,,,,c,,http://world-en.openfoodfacts.org/product/3456300005820/couscous-oriental-semoule-mais-et-riz-bio-sans-gluten-lea-nature-jardin-bio,https://images.openfoodfacts.org/images/products/345/630/000/5820/front_fr.27.400.jpg,gluten|lactose,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3596710484522,Maïs croquant,Auchan,en:fresh-vegetables,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Aliments et boissons à base de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais","en:no-added-sugar,en:nutriscore,en:nutriscore-grade-a",,"Maïs doux en grains, eau, sel",7.4,,,,b,3,http://world-en.openfoodfacts.org/product/3596710484522/mais-croquant-auchan,https://images.openfoodfacts.org/images/products/359/671/048/4522/front_fr.31.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej,0,0,0,Aucun,OUI
3041090070365,Blédi à boire multivitamines Oranges,"Blédina, Danone",en:from-4-months,"Aliments pour bébé, Goûters et desserts pour bébé, Boissons pour bébé, Dès 4 mois",en:no-gluten,,"Jus d'oranges 97.4 %, bananes, vitamines : vitamine C, vitamine B1, vitamine B2, vitamine PP, vitamine B6, vitamine B8, vitamine B5",,,,,not-applicable,1,http://world-en.openfoodfacts.org/product/3041090070365/bledi-a-boire-multivitamines-oranges-bledina,https://images.openfoodfacts.org/images/products/304/109/007/0365/front_fr.26.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3176572516007,"Petits Filous Aux Fruits Panachés 6,9 %",Yoplait,en:fruits-flavoured-fat-fresh-cream-cheese,Fromage frais aromatisé aux fruits,en:no-gluten,en:milk,"entier (Lait ecreme et Creme (Framboise ou Fra:2t cu Aortcot) • Amidon transforme de mats • Jus de sureau • Colorants , E120, El oo • : E410 E412, E415 - Arômes - Phosphate de Calcium • Correcteur dècidjté E330, sans",12.6,,,,c,4,http://world-en.openfoodfacts.org/product/3176572516007/petits-filous-aux-fruits-panaches-6-9-yoplait,https://images.openfoodfacts.org/images/products/317/657/251/6007/front_fr.4.400.jpg,gluten|lactose|sucre|ultra_transforme,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten,0,0,0,Aucun,OUI
3760322500349,GHEE  - Beurre clarifié,Nutripure,en:ghee,"Produits laitiers, Matières grasses, Produits à tartiner, Surgelés, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Beurres, Matière grasse de beurre, Beurre clarifié, Ghi","en:organic,en:eu-organic,en:nl-bio-01,en:no-lactose,fr:ab-agriculture-biologique",,Beurre clarifié,0,,,,e,2,http://world-en.openfoodfacts.org/product/3760322500349/ghee-beurre-clarifie-nutripure,https://images.openfoodfacts.org/images/products/376/032/250/0349/front_fr.15.400.jpg,lactose,lactose_free_dairy_or_alt,labels_tags indique sans lactose ou catégorie substitut laitier,0,0,0,Aucun,OUI
